Brand,Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
1,Canon PowerShot SD500,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,200.0,90.0,199.0
1,Canon PowerShot SD550,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,185.0,90.0,199.0
1,Canon PowerShot SD600,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,170.0,86.0,199.0
1,Canon PowerShot SD630,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,175.0,90.0,199.0
1,Canon PowerShot SD700 IS,2006,2816.0,2272.0,6.0,35.0,140.0,45.0,2.0,16.0,195.0,90.0,384.0
1,Canon PowerShot SD750,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,170.0,92.0,384.0
1,Canon PowerShot SD800 IS,2006,3072.0,2592.0,7.0,28.0,105.0,0.0,3.0,16.0,195.0,90.0,384.0
1,Canon PowerShot SD850 IS,2007,3264.0,2272.0,8.0,35.0,140.0,45.0,2.0,32.0,195.0,90.0,384.0
1,Canon PowerShot SD870 IS,2007,3264.0,2592.0,8.0,28.0,105.0,45.0,2.0,32.0,165.0,93.0,384.0
1,Canon PowerShot SD900,2006,3648.0,2816.0,10.0,37.0,111.0,0.0,5.0,32.0,205.0,91.0,199.0
1,Canon PowerShot SD950 IS,2007,4000.0,3264.0,12.0,36.0,133.0,50.0,5.0,32.0,205.0,96.0,384.0
1,Canon PowerShot SX100 IS,2007,3264.0,2592.0,8.0,36.0,360.0,50.0,1.0,32.0,316.0,109.0,299.0
1,Canon PowerShot TX1,2007,3072.0,2592.0,7.0,39.0,390.0,50.0,10.0,0.0,260.0,89.0,139.0
2,Fujifilm FinePix 40i,2000,2400.0,1280.0,2.0,36.0,36.0,50.0,6.0,64.0,200.0,85.5,169.0
2,Fujifilm FinePix 50i,2001,2400.0,1600.0,2.0,36.0,36.0,50.0,6.0,64.0,200.0,85.5,169.0
2,Fujifilm FinePix 1300,2000,1280.0,640.0,1.0,38.0,38.0,80.0,8.0,8.0,240.0,110.0,169.0
2,Fujifilm FinePix 2300,2001,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,8.0,240.0,110.0,169.0
2,Fujifilm FinePix 2400 Zoom,2000,1600.0,1280.0,1.0,38.0,114.0,80.0,10.0,8.0,290.0,125.0,169.0
2,Fujifilm FinePix 2600 Zoom,2001,1600.0,1280.0,1.0,38.0,114.0,80.0,10.0,16.0,260.0,99.0,169.0
2,Fujifilm FinePix 2650,2002,1600.0,1280.0,1.0,38.0,114.0,80.0,8.0,16.0,235.0,100.0,169.0
2,Fujifilm FinePix 2800 Zoom,2001,1600.0,1280.0,1.0,38.0,228.0,80.0,10.0,16.0,360.0,95.0,169.0
2,Fujifilm Finepix 30i,2001,1600.0,1280.0,1.0,38.0,38.0,60.0,8.0,16.0,200.0,85.0,199.0
2,Fujifilm FinePix 3800,2002,2048.0,1600.0,3.0,38.0,228.0,80.0,10.0,16.0,400.0,100.0,399.0
2,Fujifilm FinePix 4800 Zoom,2001,2400.0,1600.0,2.0,36.0,108.0,60.0,20.0,16.0,280.0,80.0,169.0
2,Fujifilm FinePix 4900 Zoom,2000,2400.0,1600.0,2.0,35.0,210.0,50.0,10.0,16.0,450.0,110.0,169.0
2,Fujifilm FinePix 6800 Zoom,2001,2832.0,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,280.0,80.0,169.0
2,Fujifilm FinePix 6900 Zoom,2001,2832.0,2048.0,3.0,35.0,210.0,50.0,10.0,16.0,450.0,110.0,169.0
2,Fujifilm FinePix A101,2001,1280.0,640.0,1.0,36.0,36.0,80.0,8.0,8.0,190.0,99.0,169.0
2,Fujifilm FinePix A120,2004,2016.0,1600.0,3.0,38.0,38.0,80.0,9.0,16.0,170.0,102.0,169.0
2,Fujifilm FinePix A200,2002,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,16.0,180.0,99.0,169.0
2,Fujifilm FinePix A201,2001,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,16.0,190.0,99.0,169.0
2,Fujifilm FinePix A203,2002,1600.0,1280.0,1.0,38.0,114.0,60.0,10.0,16.0,180.0,97.0,169.0
